date,key_fingerprint,domain_count
2026-04-09,AEH+DQA9JgAgACAY6/yqCQKAjZBHvzwzF/ZnadygxgJjpMYJDhsCG8b3HAAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,2
2026-04-09,AEH+DQA9kwAgACCxgr6gm71K7y7c5z5b+9o6Y6GTfP2Nxg8xu9EWvU6cSQAEAAEAAQAOcG93aGl0ZWxpc3QucnUAAA==,1
2026-04-09,AEP+DQA/hAAgACDXU+RNrdoLdDK+eh0PVKpE1XiqTaJ2YkuFOEKvmgrkHAAEAAEAAQAQc3BhY2VzLWdhbWVzLmNvbQAA,1
2026-04-09,AEP+DQA/mwAgACDiOWwV+YK/UCGldFBQMn77+oc0O+dmQcWXZ1fXXbfFXwAEAAEAAQAQd29ybGQ3OS5zcGNzLmJpbwAA,4
2026-04-09,AEP+DQA/ZAAgACAQl6+JD0EgImfsNsax1z7DChp28XMuJPw5+LPfIbvcAwAEAAEAAQAQdXN1YXJpb3Bvcm5vLmNvbQAA,2
2026-04-09,AET+DQBAAAAgACDhG6xB8By5mLc57XH9nZSb9SNquL4xaHcg5NJPkKV1AgAIAAEAAQABAAMADWNvdmVyLmhha2Euc2UAAA==,1
2026-04-09,AEX+DQBBawAgACAa5ArBfGsv87U7C4BRw+eQJK6OE8xgehl4sj+HxpDfGgAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,103788
2026-04-09,AEX+DQBBbQAgACAUOPgi3Z/BNkeStXuLptfzT/WYiRUAAL7baeV9L8wLFAAEAAEAAQASY2xvdWRmbGFyZS1lY2guY29tAAA=,89079
2026-04-09,ANb+DQBGcgAgACCezUyhqnu8aDWZ6BJLQhBoHfemBs2+ZuYrBk2Dj7PPGwAMAAEAAQABAAIAAQADHw9lY2guZXhhbXBsZS5uZXQAAP4NAESwACAAIIV4soz0W05R/h8h23SMHLei4L8Ij1GAmba2uJOGwPdeAAwAAQABAAEAAgABAAMdDWVjaC5oaWRlZC5uZXQAAP4NAEBsACAAILU5qfWEFfLqKjb3XVEC/ufXw5VSgag9Al1frRW+X7IwAAwAAQABAAEAAgABAAMZCWhpZGVkLm5ldAAA,1
2026-04-10,AD3+DQA5qAAgACAuZtism328b43nZ9VWsSov72NWmqe3V6yM6KYGUxiHHQAEAAEAAgAKY3liZXIuY2FmZQAA,1
2026-04-10,AD3+DQA5qgAgACCkp7s0t3xDM2w6KTHdKMh9AIIYqZtE8fCqioJTfUh9QwAEAAEAAQAKZ29vZ2xlLmNvbQAA,2
